Sub-district,Borough,Price,Area (m²),Price per square meter,Bedrooms,Bathrooms,Condition
Sintra,Mem Martins,185000.0,121.5,1522.63,4,2,2
Sintra,Belas,165000.0,72.55,2274.29,2,1,3
Sintra,Belas,165000.0,60.55,2725.02,2,1,3
Sintra,Belas,165000.0,60.55,2725.02,2,1,3
Sintra,Belas,155000.0,90.0,1722.22,2,1,3
Sintra,Belas,344500.0,139.0,2478.42,4,2,2
Sintra,Belas,350000.0,167.9,2084.57,5,3,2
Sintra,Mem Martins,140000.0,77.0,1818.18,3,2,2
Sintra,Belas,135000.0,95.0,1421.05,4,2,2
Sintra,Belas,350000.0,172.7,2026.64,4,3,2
Sintra,Mem Martins,185000.0,99.0,1868.69,3,2,2
Sintra,Belas,139500.0,70.0,1992.86,2,1,2
Sintra,Mem Martins,166150.0,72.0,2307.64,3,2,2
Sintra,Belas,210000.0,100.0,2100.0,3,2,3
Sintra,Belas,139500.0,57.0,2447.37,2,1,2
Sintra,Belas,119000.0,50.0,2380.0,1,1,3
Sintra,Mem Martins,157000.0,76.0,2065.79,2,1,2
Sintra,Belas,195000.0,75.0,2600.0,3,2,3
Sintra,Mem Martins,185000.0,98.0,1887.76,2,2,2
Sintra,Mem Martins,123000.0,73.0,1684.93,3,1,2
Sintra,Mem Martins,123000.0,69.28,1775.4,3,1,2
Sintra,Belas,350000.0,172.7,2026.64,4,3,2
Sintra,Belas,130000.0,77.0,1688.31,2,1,2
Sintra,Belas,165000.0,80.0,2062.5,2,1,3
Sintra,Mem Martins,125000.0,75.0,1666.67,2,1,2
Sintra,Mem Martins,125000.0,80.0,1562.5,2,1,2
Sintra,Mem Martins,139000.0,53.0,2622.64,1,1,2
Sintra,Mem Martins,125000.0,80.0,1562.5,2,1,2
Sintra,Mem Martins,125000.0,61.0,2049.18,1,1,3
Sintra,Mem Martins,255000.0,96.0,2656.25,2,2,4
Sintra,Belas,165000.0,86.0,1918.6,2,1,2
Sintra,Belas,350000.0,173.0,2023.12,5,3,2
Sintra,Belas,350000.0,75.0,4666.67,4,2,3
Sintra,Belas,350000.0,168.0,2083.33,4,3,2
Sintra,Belas,142000.0,85.0,1670.59,2,1,2
Sintra,Mem Martins,125000.0,75.0,1666.67,2,1,2
Sintra,Mem Martins,172000.0,82.0,2097.56,2,1,2
Sintra,Belas,350000.0,167.9,2084.57,4,3,2
Sintra,Belas,350000.0,173.0,2023.12,5,3,2
Sintra,Mem Martins,219000.0,120.0,1825.0,3,2,2
Sintra,Belas,350000.0,167.0,2095.81,4,3,3
Sintra,Belas,350000.0,170.0,2058.82,4,3,2
Sintra,Belas,165000.0,85.0,1941.18,2,1,2
Sintra,Mem Martins,185000.0,105.0,1761.9,4,2,2
Sintra,Belas,220000.0,65.0,3384.62,2,2,4
Sintra,Belas,199000.0,140.0,1421.43,3,2,1
Sintra,Belas,870000.0,232.0,3750.0,3,2,4
Sintra,Belas,610000.0,126.2,4833.6,2,2,4
Sintra,Belas,780000.0,232.1,3360.62,3,2,4
Sintra,Mem Martins,135000.0,70.0,1928.57,2,1,3
Sintra,Belas,350000.0,172.0,2034.88,5,2,2
Sintra,Belas,185000.0,83.0,2228.92,2,1,2
Sintra,Mem Martins,135000.0,60.0,2250.0,2,1,2
