Link,Concelho,Freguesia,Price,Bedrooms,Area (m²),Condition,Bathrooms
https://www.imovirtual.com/en/anuncio/t1-novo-c-lugar-de-garagem-em-lisboa-lumiar-ID17m0y.html#656cef6a19,Lisboa,Lumiar,225000,T1,68.0,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apart-t3-parque-nacoes-sul-varandas-terraco-2-boxes-p-4-viaturas-ID16Wp8.html#656cef6a19,Lisboa,Nações,740000,T3,169.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/lisboa-amoreiras-apartamento-t3-com-vistas-panoramicas-ID17m0f.html#656cef6a19,Lisboa,Ourique,1100000,T3,150.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-no-conde-redondo-junto-ao-liceu-camoes-ID17lXn.html#656cef6a19,Lisboa,Arroios,455000,T4,100.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-em-cascais-ID15bMD.html#656cef6a19,Cascais,Estoril,350000,T2,94.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/penthouse-t3-com-vista-de-mar-e-serra-ID17lV3.html#656cef6a19,Cascais,Estoril,510000,T3,36.0,Renovated,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/avenidas-novas-apartamento-t3-230-m2-ID17lDB.html#656cef6a19,Lisboa,Novas,585000,T3,130.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-garagem-privativa-na-urbanizacao-das-c-ID17lOp.html#656cef6a19,Sintra,Belas,350000,T4,167.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-parqueamento-ID16V0K.html#656cef6a19,Sintra,Mouro,188000,T2,90.0,,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/amadora-t2-remodelado-com-cozinha-totalmente-equipada-ID17lJO.html#656cef6a19,Amadora,Água,139000,T2,60.0,Renovated,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t2-no-condominio-villa-romao-em-carnaxide-ID17lrr.html#656cef6a19,Oeiras,Queijas,530000,T2,107.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t4-no-condominio-villa-romao-em-carnaxide-ID17lrq.html#656cef6a19,Oeiras,Queijas,780000,T4,165.0,,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/t3-a-estrear-com-terraco-urbanizacao-neudel-ID17lZj.html#656cef6a19,Amadora,Livres,350000,T3,157.0,Under construction,
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-villa-infante-ID16fiB.html#656cef6a19,Lisboa,Estrela,910000,T2,126.0,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-varanda-duo-building-ID160ww.html#656cef6a19,Lisboa,Carnide,620000,T3,130.0,Under construction,Bathrooms: 3
